country_of_origin,region,altitude,company
Honduras,occidental,1400 m.s.n.m.,beneficio santa rosa s.a.
Honduras,comayagua,1400,cigrah s.a de c.v
Honduras,marcala,1450 msnm,cadexsa
Honduras,san marcos,1450 msnm,"olam honduras, s.a."
Honduras,guinope el paraíso,1600,cigrah s.a de c.v
Honduras,central region,1450 mals,cigrah
Honduras,"comayagua, honduras",1500,carrillo cooperativa
Honduras,comayagua,1350,cigrah
Honduras,comayagua,1500,cigrah s.a de c.v
Honduras,intibuca,1350,cafes finos de exportacion s de r.l.
Honduras,central region,1500,cigrah s.a de c.v
Honduras,san marcos,1450 msnn,"olam honduras, s.a."
Honduras,marcala,1450,cadexsa
India,chikmagalur karnataka indua,3170,kaapi royale
India,chikmagalur,3000',"cafemakers, llc"
India,chikmagalur,750m,cafemakers
India,chikmagalur,1000m,sethuraman estate
India,,,cafe politico
India,chikmagalur karnataka,1000,kaapi royale
India,chickmangalore,,olam japan
India,chikmagalur karnataka india,3140,kaapi royale
India,chikmagalur,750m,"cafemakers, llc"
Indonesia,sapan toraja,1500,pt. shriya artha nusantara
Indonesia,bali,1250,pt. olam indonesia
Indonesia,bali,1250,pt. shriya artha nusantara
Indonesia,lington nihuta,1300m,essence coffee
Indonesia,ijen,1300,pt. shriya artha nusantara
Indonesia,lintong,1250-1400 meter,"nomura trading co., ltd."
Indonesia,bener meriah,,volcafe specialty coffee
Indonesia,bondowoso,1600,
Indonesia,ijen,1200-1600masl,scai
Indonesia,east java,1200-1600masl,scai
Indonesia,aceh tengah,,pt. royal pacific indah international
Indonesia,aceh,1200-1300m dpl,pt. sari makmur tunggal mandiri
Indonesia,"temanggung, indonesia",1200,pt. shriya artha nusantara
Indonesia,sumatra brastagi,1200-1500,pt. olam indonesia
Indonesia,aceh gayo,1300,pt. shriya artha nusantara
Indonesia,dolok sanggul,1300-1400m,
Indonesia,indonesia,3500,
Indonesia,sumatra brastagi,1400,pt. olam indonesia
Indonesia,bener meriah,1500,pt. olam indonesia
Kenya,central kenya,1650,taylor winch (coffee) ltd
Kenya,kirinyaga,1900m,essence coffee
Kenya,,,taylor winch (coffee) ltd
Kenya,nyeri,2000 m,dream together co. ltd
Kenya,nyeri,2000,dream together inc.
Kenya,,-1,c dorman ltd
Kenya,central kenya,1580,rashid moledina & co. (msa) ltd
Kenya,kenya,approx.1'500 metres a.s.l.,taylor winch (coffee) ltd
Kenya,muranga,1800,c dorman ltd
Kenya,kenya,approx. 1'500 metres a.s.l.,taylor winch (coffee) ltd
Kenya,central kenya,above 1600 m,rashid moledina & co. (msa) ltd
Kenya,meru county,1700,taylor winch (coffee) ltd
Kenya,kiambu,1520m-2200m,lusso coffee lab
Kenya,nyeri,1800,c dorman ltd
Kenya,central kenya,above 1200 m,ibero kenya limited
Kenya,blend,above 1200 m,ibero kenya limited
Kenya,kiambu,1500,taylor winch (coffee) ltd
Kenya,kiambu,1600,c dorman ltd
Kenya,nyeri,1754,keremara limited
Kenya,,,
Laos,"paksong,laos",1300,宸嶧國際
Laos,lao p.d.r.,1250m,kettles coffee roasters
Malawi,mzuzu,1442 m,mzuzu coffee planters coop union
Malawi,mzuzu,1422,mzuzu coffee planters coop union
Malawi,mzuzu,1200m,mzuzu coffee planters coop union
Malawi,mzuzu,2500m,mzuzu coffee planters coop union
Malawi,mzuzu,1100m,mzuzu coffee planters coop union
Malawi,mzuzu,1599m,mzuzu coffee planters coop union
